DLTR_Date,DLTR_Close
3/3/2015 16:00:00,79.16
3/4/2015 16:00:00,78.84
3/5/2015 16:00:00,79.43
3/6/2015 16:00:00,79.61
3/9/2015 16:00:00,79.7
3/10/2015 16:00:00,79.61
3/11/2015 16:00:00,78.83
3/12/2015 16:00:00,80.89
3/13/2015 16:00:00,81.91
3/16/2015 16:00:00,83.71
3/17/2015 16:00:00,83.32
3/18/2015 16:00:00,83.7
3/19/2015 16:00:00,83.41
3/20/2015 16:00:00,83.81
3/23/2015 16:00:00,83.05
3/24/2015 16:00:00,82.83
3/25/2015 16:00:00,81.17
3/26/2015 16:00:00,81.02
3/27/2015 16:00:00,81.72
3/30/2015 16:00:00,81.81
3/31/2015 16:00:00,81.15
4/1/2015 16:00:00,81.3
4/2/2015 16:00:00,81.12
4/6/2015 16:00:00,80.98
4/7/2015 16:00:00,80.58
4/8/2015 16:00:00,83.53
4/9/2015 16:00:00,82.75
4/10/2015 16:00:00,82.87
4/13/2015 16:00:00,81.82
4/14/2015 16:00:00,81.05
4/15/2015 16:00:00,81.21
4/16/2015 16:00:00,81.03
4/17/2015 16:00:00,79.14
4/20/2015 16:00:00,79.71
4/21/2015 16:00:00,80.78
4/22/2015 16:00:00,80.57
4/23/2015 16:00:00,81.01
4/24/2015 16:00:00,81.14
4/27/2015 16:00:00,80.42
4/28/2015 16:00:00,79.97
4/29/2015 16:00:00,77.47
4/30/2015 16:00:00,76.41
5/1/2015 16:00:00,77.73
5/4/2015 16:00:00,77.31
5/5/2015 16:00:00,76.34
5/6/2015 16:00:00,77.15
5/7/2015 16:00:00,78.01
5/8/2015 16:00:00,79.18
5/11/2015 16:00:00,78.98
5/12/2015 16:00:00,79.21
5/13/2015 16:00:00,77.85
5/14/2015 16:00:00,76.97
5/15/2015 16:00:00,78.37
5/18/2015 16:00:00,78.42
5/19/2015 16:00:00,77.55
5/20/2015 16:00:00,76.26
5/21/2015 16:00:00,78.68
5/22/2015 16:00:00,77.18
5/26/2015 16:00:00,75.5
5/27/2015 16:00:00,76.34
5/28/2015 16:00:00,76.19
5/29/2015 16:00:00,74.99
6/1/2015 16:00:00,76.98
6/2/2015 16:00:00,77.69
6/3/2015 16:00:00,79.08
6/4/2015 16:00:00,78.83
6/5/2015 16:00:00,77.64
6/8/2015 16:00:00,77.11
6/9/2015 16:00:00,77.09
6/10/2015 16:00:00,78.23
6/11/2015 16:00:00,78.63
6/12/2015 16:00:00,78.77
6/15/2015 16:00:00,77.91
6/16/2015 16:00:00,78.55
6/17/2015 16:00:00,79.72
6/18/2015 16:00:00,80.31
6/19/2015 16:00:00,79.56
6/22/2015 16:00:00,80.64
6/23/2015 16:00:00,80.37
6/24/2015 16:00:00,80.57
6/25/2015 16:00:00,80.46
6/26/2015 16:00:00,81.66
6/29/2015 16:00:00,79.35
6/30/2015 16:00:00,78.99
7/1/2015 16:00:00,80.11
7/2/2015 16:00:00,79.81
7/6/2015 16:00:00,80.08
7/7/2015 16:00:00,80.34
